,trailingPE,debtToEquity,marketCap
RELIANCE.NS,21.842546,36.653,17646342897664.0
TCS.NS,15.384333,10.389,7574465806336.0
HDFCBANK.NS,17.876589,,12337146757120.0
ICICIBANK.NS,18.87908,,10123465457664.0
INFY.NS,13.875711,9.827,4240037117952.0
HINDUNILVR.NS,48.570168,3.016,5171920240640.0
ITC.NS,17.551453,3.293,3632919478272.0
SBIN.NS,11.407262,,9599842254848.0
BHARTIARTL.NS,42.9883,99.718,11918332919808.0
KOTAKBANK.NS,20.440495,,3946260201472.0
LT.NS,34.44188,97.64,5539511140352.0
AXISBANK.NS,15.8866,,4174975336448.0
ASIANPAINT.NS,60.826485,17.847,2624576290816.0
MARUTI.NS,30.807833,0.096,4516707041280.0
SUNPHARMA.NS,39.924545,5.517,4570253099008.0
TITAN.NS,77.77371,195.001,3957197635584.0
ULTRACEMCO.NS,42.166035,29.432,3448550719488.0
BAJFINANCE.NS,33.761047,313.407,6413118078976.0
NESTLEIND.NS,80.12075,8.621,2814953390080.0
WIPRO.NS,14.019108,22.853,1741720780800.0
M&M.NS,20.62393,125.066,3766670852096.0
HCLTECH.NS,18.568634,6.935,3081868148736.0
NTPC.NS,11.706076,118.127,3456377028608.0
POWERGRID.NS,14.30666,150.993,2677178892288.0
TATAMOTORS.NS,,,
TATASTEEL.NS,21.942198,89.017,2367156649984.0
ADANIENT.NS,43.571625,119.56,4406961504256.0
ADANIPORTS.NS,32.208282,64.051,4318080008192.0
BAJAJFINSV.NS,31.04996,256.36,3030132195328.0
TECHM.NS,26.040627,7.269,1249098072064.0
GRASIM.NS,43.448982,134.138,2157199753216.0
HINDALCO.NS,15.839149,72.598,2131501121536.0
DRREDDY.NS,26.728262,20.328,1144227102720.0
CIPLA.NS,30.347553,1.778,1178000031744.0
JSWSTEEL.NS,13.474259,94.155,3002705117184.0
ONGC.NS,7.220401,42.548,2992093528064.0
COALINDIA.NS,8.692292,11.629,2703589113856.0
BRITANNIA.NS,51.06807,26.875,1295630467072.0
EICHERMOT.NS,36.545834,2.048,2014674681856.0
DIVISLAB.NS,69.73168,0.042,1793771175936.0
APOLLOHOSP.NS,65.980415,85.146,1278748786688.0
HEROMOTOCO.NS,16.927477,3.57,970971021312.0
BAJAJ-AUTO.NS,25.45523,56.352,2732813713408.0
INDUSINDBK.NS,85.31961,,759147986944.0
TATACONSUM.NS,71.537476,12.159,1105136844800.0
UPL.NS,27.225462,57.128,513425604608.0
BPCL.NS,5.0950727,54.332,1316597006336.0
SBILIFE.NS,72.65231,,1794496266240.0
HDFCLIFE.NS,64.07449,27.554,1233007673344.0
