Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2019-01-01,4726656,1233249,292677,664707,12179223,304150,1418210,9178720,6117146,3105422,140863,1361809,2227003,254899,1693785,444340,465132,717468,6373440,244225,344239,5015702,807345,7759872,4043870,2943390,2586466,3622654,6012900,786846,3442903,625360,634180,4011082,4496586,3961625,9746670,40902,11837127,12171,8487116,716275,41281730,1094883,815535,2064502,92921,2415372,4036542
2019-01-02,2735262,1506543,658775,1233780,12386281,599274,2212740,13049150,6218991,19725590,152324,1243067,3897893,247208,2087755,4814970,825079,2270096,8134232,401487,597712,10991026,1598707,18243156,1164974,7416655,10316782,8855139,8568385,2058504,10596260,891844,563340,5201079,17436694,7876559,15628818,115282,25559853,13931,9656878,1081778,117473500,2100463,2576769,2672587,143828,1962064,8822139
2019-01-03,2758876,1902063,322081,1636293,13228602,310511,2158450,12824780,6230813,9972260,311498,2086150,5664136,536515,2709455,4683010,963393,2809224,12771664,391423,368413,8656029,1182624,12884409,958038,6827249,6350450,10003388,9129440,2290756,11084172,715168,3385820,7035283,26599483,7942863,16288287,415471,17548347,24843,9479511,2096553,135329440,2611668,3558015,3292918,223538,1579716,9446080
2019-01-04,2777308,1669709,725206,1202397,8381367,362393,1563230,10510210,11361086,7717220,170818,1651456,2885669,391849,2036985,3418330,1073253,3077278,7287120,484014,405667,17408469,1454134,22896026,1868151,7889310,8105747,6070751,7343980,2711485,5919404,774445,4123260,7988112,7395898,4017540,18516544,119061,19514041,30506,6228693,1213181,104800720,4280862,3926171,2340304,220079,1590477,6414073
2019-01-07,2714218,1260331,683914,1074373,11735286,462215,1032170,10243280,5511088,5790820,152966,1168002,7347326,456830,2712075,2156680,1075850,2344752,5387012,346567,361881,8143876,909032,12719847,3991996,8046340,10133320,7041362,6057280,1851513,2792255,687845,1719180,14121843,12700566,3592512,12060290,316222,14579399,11758,4118235,871903,84067870,1856423,1885000,5337211,220371,2384899,5076276
2019-01-08,2791866,2154121,893261,1232440,11879875,486654,1112490,12333790,7194973,4342090,217274,1765015,4206563,345960,3447490,3664290,1027800,3031576,8343460,391569,354130,13402916,1262707,21501136,1479592,8621545,7768619,4528899,8307640,1437271,4764487,516841,2686820,6656692,6163846,3990870,12304389,214725,22949961,10883,12368631,590293,62697060,1691756,1300906,2039160,271012,1472160,5559089
2019-01-09,4054809,1166498,289161,973687,18003387,285560,1597690,10939920,8018192,9131732,257227,1929305,2954253,248643,2321680,1637520,4021049,2471720,8568628,815426,388001,13253349,1324628,21730142,6447772,18130292,12651287,5848215,8238110,1413005,2569424,740580,1969660,4636543,4951441,4087529,12614237,304725,21109911,23593,9034282,908322,126966600,2414376,2183998,2115974,248627,1559776,10474346
2019-01-10,3534546,1286641,428709,1004783,12751327,277585,1647150,9108390,5748158,9773604,229690,1252439,2292058,1072651,1952070,1021430,823072,1832096,7691540,1539299,452293,9291967,1313981,14497154,4377060,9572493,10684824,4352095,8257215,1063647,2550750,452699,1538300,15340801,7131028,3589725,8925160,165683,16295468,9641,3672333,715378,70810000,3053461,1454656,2450895,138524,3601815,8265043
2019-01-11,2254999,1829555,467514,473391,8330315,259834,1224320,8182180,5922578,4669620,353709,2051418,2446815,1149372,1583935,1122200,1222694,4331368,6408040,644793,258996,13314252,1113837,12537973,3180775,12281903,17419014,4483554,10646495,2489197,2215240,488399,1145060,13579929,7665486,2995789,14139060,171998,12702551,47981,3778103,698106,75408240,9209862,1849817,1535995,248857,3904549,4263836
2019-01-14,2624582,927301,887486,1360800,6856244,170937,1524090,10215040,3674704,7516622,154975,1472415,2273231,965710,1972390,701210,736948,1956808,4855160,976187,267722,5204874,1018068,14844029,3615252,19312937,6646635,3756403,6823475,3080984,1713221,424152,1036220,5010679,6028078,5370460,8994060,366016,10372933,43144,5784064,1036107,58899170,3615370,1558602,864306,198557,2088177,18435523
2019-01-15,1805678,1965520,466539,1355920,5467484,169721,1333360,14663030,5706902,6913912,278642,1177377,2323323,383535,1787885,633190,2636801,3693892,5087556,668054,371767,7173758,1614600,12960779,1725819,19671304,7490965,6557577,5769355,3079248,2138402,491196,989400,14730974,3680774,11498868,22011407,68669,9444374,23989,4291873,649313,76031810,7711653,2491520,1452136,298881,2047294,40188776
2019-01-16,1574176,2847403,513687,1189597,6598151,218357,1196800,9525970,7705383,9562002,182044,1446921,2050899,362391,4730740,674680,1933812,1701242,5252452,962874,261721,8209760,2054033,15106484,2188162,9658944,8083821,3752082,11873245,2454470,1288969,424769,2733580,5679378,3667241,8515441,13961606,440003,12111480,16308,5879148,1088457,52802930,2359280,1922647,1118736,201711,3876135,26390100
2019-01-17,2618859,4156932,420061,853829,10448209,230784,1390430,9941830,4569576,7898996,154540,1598184,3220136,927211,3249010,1037770,1001551,3690234,8240228,962821,515341,6537377,1941204,13171721,1467807,6903771,11009380,4817690,19672500,1610419,3318440,462725,1454740,7529166,5142302,5325531,16379077,377003,15974634,16720,8343750,1267904,42819350,2625816,1434040,1303576,235993,2164326,14104487
2019-01-18,2306520,3617922,702678,1092189,7037386,269686,1916260,7537750,16359865,5008314,161433,1502360,2944908,454592,2681365,1081400,963387,4685056,5207976,435544,389524,6258424,3234056,12212121,1589082,5902151,11418250,4210472,12992860,2135781,1601885,334555,1535240,3100312,4904282,4366941,56181172,107504,9082501,16832,82906214,771653,49148490,1683728,1888004,1168989,237908,1379212,26911902
2019-01-21,1763205,2563705,1293001,2513582,6157956,303893,1771760,13321590,8621248,3885636,174710,1150380,1904575,351617,2975320,950380,508442,3265418,17561512,900424,628463,4883723,1628067,8908581,1606142,8129422,8519267,2854706,48926830,8813681,1341152,654537,382160,13187677,4087312,4067143,48206814,427431,10188647,6880,48936782,1005521,46136900,2409803,2586962,1035360,279969,1691152,41658250
2019-01-22,2261667,3328908,1100328,5483768,7951640,273441,1737750,14747130,8770625,4687940,156085,1455953,4564028,710962,3880330,1378300,759111,4791592,8796976,1365759,842837,7665916,1776472,14756076,2666389,6723375,10727385,5006219,45363400,2544978,5097285,896521,799160,7074433,4113351,3577455,36207430,95583,11297989,97794,38255365,682384,89577660,2457093,2839669,2797244,220491,2125471,17817926
2019-01-23,2322990,3653992,671259,2702265,7596006,205104,1874450,9925040,5617992,3973026,286992,1358623,2328748,302963,3772630,535950,1578782,5641586,7624288,1355788,326454,5821081,2321782,9726450,1441440,7212099,41735950,4489030,16292910,1821323,4714919,702474,1024200,5323552,4946218,6173490,19313542,159259,10304608,50789,26921274,937183,72593860,2578169,1965283,1574247,171340,3505369,26499796
2019-01-24,1678843,3633336,831256,1562800,7013582,183566,1089930,7538560,10389592,3294118,148520,1620195,2838220,365424,3057825,457230,1013460,2954782,10111572,1229942,240737,3917176,1350870,17521254,1088512,7429783,29105831,3705336,7298880,1654706,3891245,520703,2092360,4250377,3820645,6157088,28775487,129335,11532528,27535,18446490,1059068,47908460,1962927,1849102,1246903,808713,3163807,11281453
